Input lines: 463004, deduped: 278569
47.066667,10.3590
47.070000,10.3614
47.073333,10.3593
47.076667,10.3580
47.080000,10.3564
47.083333,10.3549
47.086667,10.3575
47.090000,10.3584
47.093333,10.3595
47.096667,10.3607
47.100000,10.3638
47.103333,10.3604
47.106667,10.3593
47.110000,10.3587
47.113333,10.3583
47.116667,10.3578
47.120000,10.3590
47.123333,10.3597
47.126667,10.3634
47.130000,10.3565
47.133333,10.3582
47.136667,10.3573
47.140000,10.3602
47.143333,10.3574
47.146667,10.3585
47.150000,10.3575
47.153333,10.3579
47.156667,10.3575
47.160000,10.3603
47.163333,10.3593
47.166667,10.3628
47.170000,10.3606
47.173333,10.3605
47.176667,10.3563
47.180000,10.3611
47.183333,10.3613
47.186667,10.3604
47.190000,10.3571
47.193333,10.3629
47.196667,10.3607
47.200000,10.3570
47.203333,10.3588
47.206667,10.3585
47.210000,10.3569
47.213333,10.3600
47.216667,10.3640
47.220000,10.3610
47.223333,10.3588
47.226667,10.3603
47.230000,10.3570
47.233333,10.3646
47.236667,10.3553
47.240000,10.3603
47.243333,10.3597
47.246667,10.3594
47.250000,10.3604
47.253333,10.3550
47.256667,10.3583
47.260000,10.3631
47.263333,10.3605
47.266667,10.3618
47.270000,10.3620
47.273333,10.3602
47.276667,10.3627
47.280000,10.3590
47.283333,10.3565
47.286667,10.3627
47.290000,10.3598
47.293333,10.3594
47.296667,10.3552
47.300000,10.3577
47.303333,10.3570
47.306667,10.3635
47.310000,10.3634
47.313333,10.3621
47.316667,10.3603
47.320000,10.3624
47.323333,10.3604
47.326667,10.3595
47.330000,10.3600
47.333333,10.3605
47.336667,10.3579
47.340000,10.3611
47.343333,10.3581
47.346667,10.3598
47.350000,10.3608
47.353333,10.3592
47.356667,10.3611
47.360000,10.3582
47.363333,10.3564
47.366667,10.3609
47.370000,10.3575
47.373333,10.3594
47.376667,10.3565
47.380000,10.3614
47.383333,10.3604
47.386667,10.3603
47.390000,10.3570
47.393333,10.3566
47.396667,10.3598
47.400000,10.3604
47.403333,10.3595
47.406667,10.3590
47.410000,10.3581
47.413333,10.3597
47.416667,10.3608
47.420000,10.3570
47.423333,10.3579
47.426667,10.3587
47.430000,10.3608
47.433333,10.3589
47.436667,10.3593
47.440000,10.3585
47.443333,10.3599
47.446667,10.3604
47.450000,10.3627
47.453333,10.3622
47.456667,10.3522
47.460000,10.3626
47.463333,10.3597
47.466667,10.3596
47.470000,10.3618
47.473333,10.3619
47.476667,10.3520
47.480000,10.3526
47.483333,10.3617
47.486667,10.3620
47.490000,10.3583
47.493333,10.3610
47.496667,10.3569
47.500000,10.3583
47.503333,10.3575
47.506667,10.3580
47.510000,10.3581
47.513333,10.3604
47.516667,10.3541
47.520000,10.3565
47.523333,10.3582
47.526667,10.3615
47.530000,10.3552
47.533333,10.3533
47.536667,10.3593
47.540000,10.3617
47.543333,10.3596
47.546667,10.3552
47.550000,10.3577
47.553333,10.3589
47.556667,10.3578
47.560000,10.3638
47.563333,10.3609
47.566667,10.3569
47.570000,10.3582
47.573333,10.3549
47.576667,10.3617
47.580000,10.3584
47.583333,10.3627
47.586667,10.3564
47.590000,10.3613
47.593333,10.3586
47.596667,10.3587
47.600000,10.3605
47.603333,10.3592
47.606667,10.3616
47.610000,10.3554
47.613333,10.3601
47.616667,10.3614
47.620000,10.3610
47.623333,10.3577
47.626667,10.3554
47.630000,10.3579
47.633333,10.3577
47.636667,10.3592
47.640000,10.3608
47.643333,10.3586
47.646667,10.3630
47.650000,10.3623
47.653333,10.3617
47.656667,10.3600
47.660000,10.3598
47.663333,10.3597
47.666667,10.3599
47.670000,10.3648
47.673333,10.3582
47.676667,10.3579
47.680000,10.3584
47.683333,10.3596
47.686667,10.3612
47.690000,10.3601
47.693333,10.3610
47.696667,10.3583
47.700000,10.3592
47.703333,10.3576
47.706667,10.3603
47.710000,10.3602
47.713333,10.3618
47.716667,10.3617
47.720000,10.3563
47.723333,10.3575
47.726667,10.3573
47.730000,10.3576
47.733333,10.3579
